Function Name,Completed,Tests,Merged,To Be Deleted,Not Started,Possible Core Library,Class,Comments
is ,x,,,,,x,typechecking,
extract_real_match ,,,,,,,strings,
parse_range ,x,,,,,,strings,
pick_off ,x,,,,,,strings,
in_arr ,x,,,,,x,arrays,
arr ,x,,,,,x,arrays,
col_wrap ,,,,,,,strings,
random_word ,,,,,,,random,
break_list_by_delim,-,,,x,,,-,replaced by: is
break_maps_by_delim,-,,,x,,,-,replaced by: is
check_for_editor,x,,,,,,?,
convert,-,,,x,,,-,replaced by: is
dbm,x,,,,,,databases,still needs to be regenerated by hand BUT a script can be written to manage it...  (like rmmg --post `dbm --librarify ...`)
create_menu,,,,,x,,interaction,
die_on_improper_type,,,,x,,,,`is` and `arg` will supercede...
edit_in_place,,,,x,,,,`tmp_file` does a better job
eval_flags,,,,,,,,
hello,,,,,,,testing,
installation,,,,,,x,?,
is_element_present_in,,,,x,,,-,replaced by: in_arr
is_flag,,,,x,,,,"will be replaced by: arg ( --flag, --option, --boolean, --arg )"
load_from_db_columns,,,,x,,,,replaced by: dbm or dba
modify_from_db_columns,,,,x,,,,replaced by: dbm or dba
mega,,,,x,,,,
randomize,,,,,,,,
randomize_to,,,,x,,,,replaced by: randomize --to
read_xz,,,,,,,,will be replaced by: read_compressed or read_cmp
tmp_file,,,,,,,,
typecheck,,,,x,,,,replaced by: is
where,,,,x,,,,replaced by: dbm or dba
arg,,,,,,x,,
netcatsrv,,,,,x,,,
,,,,,x,,,
,,,,,x,,,
,,,,,x,,,
